,index,default_flag,number_of_stars,number_of_planets,planet_orbital_period,orbit_semimajor_axis,planet_radius,stellar_temperature,stellar_radius,stellar_mass,system_distance,habitable
57,157.0,1.0,1.0,1.0,2590.0,4.2,12.697180000000001,4943.0,7.6,1.52,442.042,0.0
58,158.0,1.0,1.0,1.0,265.59,0.78,12.319279999999997,5012.0,3.1299000000000006,0.91,52.5697,0.0
59,159.0,1.0,1.0,1.0,1198.48,2.06,9.962679999999995,5000.0,1.5199000000000005,0.82,38.0473,0.0
60,160.0,1.0,1.0,1.0,723.2,1.48,9.636479999999993,5040.0,1.2054,0.81,42.6402,0.0
61,161.0,1.0,1.0,2.0,3.8728,0.0428,3.7229799999999993,4324.0,0.6867,0.7,20.2695,0.0
62,162.0,1.0,1.0,2.0,125.94,0.435,4.115770000000003,4324.0,0.6797999999999997,0.7,20.2695,0.0
63,164.0,1.0,1.0,2.0,5.6,0.06,4.018889999999999,4816.0,0.71,0.5,41.3342,0.0
64,165.0,1.0,1.0,2.0,237.6,0.68,4.277100000000002,4746.0,0.9267,0.74,41.3342,0.0
65,169.0,1.0,1.0,1.0,3.48777,0.04,12.047459999999994,5393.0,0.91,1.47,84.4069,0.0
66,171.0,1.0,1.0,2.0,1634.0,2.36,6.064470000000001,4550.0,0.64,0.65,27.1665,0.0
67,172.0,1.0,1.0,2.0,74.2,0.3,4.573570000000002,4550.0,0.64,0.65,27.1665,0.0
68,173.0,1.0,1.0,1.0,714.29999,1.66,16.137360000000008,4545.0,19.17,2.12,925.214,0.0
69,175.0,1.0,1.0,1.0,655.6,1.34,10.647769999999996,4714.0,0.69,0.74,34.4603,0.0
70,177.0,1.0,1.0,1.0,2.2907,0.0185,11.878299999999998,3130.0,0.17,0.16,8.60715,0.0
71,178.0,1.0,1.0,1.0,10037.5,2.6,16.73852999999999,580.5,2.270800000000003,0.02,210.19323349999996,0.0
72,179.0,1.0,1.0,1.0,8040000.0,200.0,20.849,2320.0,0.24,0.01,145.1530924999999,0.0
73,180.0,1.0,1.0,1.0,5504293.375,210.0,17.38313999999999,4255.395,2.0413000000000032,0.35,190.374,0.0
74,181.0,1.0,1.0,1.0,8.9891,0.07673740000000003,10.411389999999997,5178.587,0.8529000000000009,0.9,157.998,0.0
75,182.0,1.0,1.0,1.0,402000000.0,7506.0,12.442,3406.0,0.39,0.37,10.8864,0.0
76,183.0,1.0,1.0,1.0,5473830.0,440.0,24.66,4612.78,12.943399999999997,2.7969000000000004,190.72,0.0
77,187.0,1.0,1.0,1.0,1.5089557,0.025397500000000003,16.7,5950.0,1.11,0.95,787.909,0.0
78,189.0,1.0,1.0,1.0,13.2406,0.1055,10.87,5075.0,0.79,0.89,338.386,0.0
79,193.0,1.0,1.0,1.0,2.99433,0.0436,16.03,6440.0,1.37,1.27,655.037,0.0
80,198.0,1.0,1.0,1.0,2.828042,0.04016,16.14,5675.0,1.12,1.08,1126.37,0.0
81,201.0,1.0,1.0,1.0,4.03519,0.051,9.92,5945.0,1.01,1.09,1148.93,0.0
82,204.0,1.0,1.0,1.0,1.51214,0.027,12.22,6035.0,1.21,1.13,1744.6,0.0
83,208.0,1.0,1.0,1.0,5.35227,0.0618,13.11,5650.0,1.19,1.1,732.409,0.0
84,209.0,1.0,1.0,1.0,3.7681,0.0461,11.43,5740.0,1.59,1.04,1176.12,0.0
85,213.0,1.0,1.0,1.0,1.9000693,0.0295,14.68,5440.0,1.0,0.95,764.889,0.0
86,217.0,1.0,1.0,1.0,3.89713,0.0518,14.46,6090.0,1.65,1.21,790.663,0.0
87,225.0,1.0,2.0,1.0,1.7429935,0.02798,16.432,5625.0,0.91,0.96,213.283,0.0
88,229.0,1.0,1.0,2.0,9.24285,0.09,6.604190000000006,5971.8238,1.3224999999999998,1.14,844.061,0.0
89,232.0,1.0,1.0,2.0,1675.0,2.9,6.558550000000001,6070.03,1.2196999999999998,1.14,844.061,0.0
90,234.0,1.0,1.0,1.0,2.72474,0.0417,14.572,6200.0,1.95,1.29,1026.5502999999992,0.0
91,235.0,1.0,1.0,1.0,9.75598,0.092,4.88,5939.0,1.14,1.1,627.158,0.0
92,238.0,1.0,1.0,1.0,3.6313,0.048,11.77,5900.0,1.61,1.14,1060.97,0.0
93,239.0,1.0,1.0,2.0,5.1134,0.056,3.7,4950.0,0.86,0.91,591.555,0.0
94,240.0,1.0,1.0,2.0,11.759,0.098,5.0,4950.0,0.86,0.91,591.555,0.0
95,242.0,1.0,1.0,1.0,4.86069,0.0578,12.11,6040.0,1.19,1.09,1103.48,0.0
96,244.0,1.0,1.0,1.0,4.20474,0.0526,14.12,5590.0,1.79,1.09,1045.18,0.0
97,245.0,1.0,1.0,1.0,3.57532,0.0476,11.287,5900.0,1.08,1.05,1010.28,0.0
98,248.0,1.0,1.0,1.0,5.20851,0.0603,10.705,5150.0,1.78,1.01,766.183,0.0
99,249.0,1.0,1.0,1.0,2.85057,0.0386,10.088,5260.0,0.9,0.97,806.507,0.0
100,255.0,1.0,1.0,1.0,4.2568,0.05762323999999996,11.32,6740.0,1.56,1.37,768.771,0.0
101,257.0,1.0,1.0,1.0,9.06005,0.0844,11.31,5650.0,0.91,0.98,1032.23,0.0
102,258.0,1.0,1.0,1.0,4.62941,0.0586,16.365,5700.0,2.15,1.25,2005.76,0.0
103,259.0,1.0,1.0,1.0,9.20205,0.09,13.34,6190.0,1.17,1.16,726.412,0.0
104,262.0,1.0,1.0,1.0,4.0378962,0.04947,15.558,6100.0,1.19,1.0,882.472,0.0
105,266.0,1.0,1.0,1.0,8.886593,0.0855,13.068,6090.0,1.02,1.05,645.294,0.0
106,269.0,1.0,1.0,2.0,0.85359163,0.01666360000000001,1.681,5275.0,0.83,0.82,159.906,0.0
107,277.0,1.0,1.0,2.0,3.698,0.046,3.297069999999999,5256.0,0.86,0.9,159.906,0.0
108,280.0,1.0,1.0,1.0,6.21229,0.063,6.39,5080.0,0.77,0.88,322.037,0.0
109,284.0,1.0,2.0,1.0,95.272656,0.4021,11.949,5625.0,0.96,0.96,412.98,0.0
110,286.0,1.0,1.0,1.0,6.71837,0.071,6.389,5970.0,0.79,1.08,576.683,0.0
